Opcode,Mnemonic,Addressing,Cycle,Symbolic Code,W2,W1,W0
00,BRK,Impl,0,IR := *PC,0000,100A,0010
00,BRK,Impl,1,*SP := PCH; SP -= 1,0000,2095,0010
00,BRK,Impl,2,*SP := PCL; SP -= 1,0000,2055,0010
00,BRK,Impl,3,*SP := P; SETF(B); SP -= 1,0008,2015,0010
00,BRK,Impl,4,DL := *fCPL,0000,000A,0010
00,BRK,Impl,5,ADL := DL,0038,0400,0000
00,BRK,Impl,6,DL := *fCPH,0000,000A,0010
00,BRK,Impl,7,"ADH := DL; PC := {ADH, ADL}; SETF(I); END",003A,0800,0402
01,ORA,"(ZP,X)",0,IR := *PC; PC += 1,0004,100A,0010
01,ORA,"(ZP,X)",1,DL := *PC; PC += 1,0004,100A,0010
01,ORA,"(ZP,X)",2,ADL := {calculate_zp_x_pointer}; DL := *{zeropage_indirect},0000,940A,0010
01,ORA,"(ZP,X)",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
01,ORA,"(ZP,X)",4,ADH := DL; ADL := TMP,0030,0C00,0000
01,ORA,"(ZP,X)",5,"DL := *{latch}; ORA(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,300A,0012
03,SLO,"(ZP,X)",0,IR := *PC; PC += 1,0004,100A,0010
03,SLO,"(ZP,X)",1,DL := *PC; PC += 1,0004,100A,0010
03,SLO,"(ZP,X)",2,ADL := {calculate_zp_x_pointer}; DL := *{zeropage_indirect},0000,940A,0010
03,SLO,"(ZP,X)",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
03,SLO,"(ZP,X)",4,ADH := DL; ADL := TMP,0030,0C00,0000
03,SLO,"(ZP,X)",5,DL := *{latch}; TMP := *{latch},0000,300A,0090
03,SLO,"(ZP,X)",6,ASL(TMP); *{latch} := ALU_RESULT; DL := ALU_RESULT,7830,3005,0010
03,SLO,"(ZP,X)",7,"ORA(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
05,ORA,ZP,0,IR := *PC; PC += 1,0004,100A,0010
05,ORA,ZP,1,DL := *PC; PC += 1,0004,100A,0010
05,ORA,ZP,2,ADL := DL,0038,0400,0000
05,ORA,ZP,3,"DL := *{zeropage}; ORA(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,800A,0012
06,ASL,ZP,0,IR := *PC; PC += 1,0004,100A,0010
06,ASL,ZP,1,DL := *PC; PC += 1,0004,100A,0010
06,ASL,ZP,2,ADL := DL,0038,0400,0000
06,ASL,ZP,3,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
06,ASL,ZP,4,ASL(TMP),4030,0000,0000
06,ASL,ZP,5,*{zeropage} := ALU_RESULT; ALU_FLAGS_LD; END,F800,8005,0012
07,SLO,ZP,0,IR := *PC; PC += 1,0004,100A,0010
07,SLO,ZP,1,DL := *PC; PC += 1,0004,100A,0010
07,SLO,ZP,2,ADL := DL,0038,0400,0000
07,SLO,ZP,3,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
07,SLO,ZP,4,ASL(TMP); *{zeropage} := ALU_RESULT; DL := ALU_RESULT,7830,8005,0010
07,SLO,ZP,5,"ORA(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
08,PHP,Impl,0,IR := *PC; PC += 1,0004,100A,0010
08,PHP,Impl,1,*SP := P; SETF(B); SP -= 1; END,0008,2015,0012
09,ORA,#Imm,0,IR := *PC; PC += 1,0004,100A,0010
09,ORA,#Imm,1,DL := *PC; PC += 1,0004,100A,0010
09,ORA,#Imm,2,"ORA(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
0A,ASL,Acc,0,IR := *PC; PC += 1,0004,100A,0010
0A,ASL,Acc,1,ASL(A); A := ALU_RESULT; ALU_FLAGS_LD; END,FC28,0000,0002
0D,ORA,Abs,0,IR := *PC; PC += 1,0004,100A,0010
0D,ORA,Abs,1,DL := *PC; PC += 1,0004,100A,0010
0D,ORA,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
0D,ORA,Abs,3,ADH := DL,0038,0800,0000
0D,ORA,Abs,4,"DL := *{latch} + X; ORA(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
0E,ASL,Abs,0,IR := *PC; PC += 1,0004,100A,0010
0E,ASL,Abs,1,DL := *PC; PC += 1,0004,100A,0010
0E,ASL,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
0E,ASL,Abs,3,ADH := DL,0038,0800,0000
0E,ASL,Abs,4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
0E,ASL,Abs,5,ASL(TMP),4030,0000,0000
0E,ASL,Abs,6,*{latch} + X := ALU_RESULT; ALU_FLAGS_LD; END,F800,3205,0012
0F,SLO,Abs,0,IR := *PC; PC += 1,0004,100A,0010
0F,SLO,Abs,1,DL := *PC; PC += 1,0004,100A,0010
0F,SLO,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
0F,SLO,Abs,3,ADH := DL,0038,0800,0000
0F,SLO,Abs,4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
0F,SLO,Abs,5,ASL(TMP); *{latch} + X := ALU_RESULT; DL := ALU_RESULT,7830,3205,0010
0F,SLO,Abs,6,"ORA(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
10,BPL,Rel,0,IR := *PC; PC += 1,0004,100A,0010
10,BPL,Rel,1,ADL := *PC; PC += 1; TEST_BRANCH_EN; END,0004,140A,001A
10,BPL,Rel,2,PC := {pc_plus_offset}; END,0002,8000,0012
11,ORA,"(ZP),Y",0,IR := *PC; PC += 1,0004,100A,0010
11,ORA,"(ZP),Y",1,DL := *PC; PC += 1,0004,100A,0010
11,ORA,"(ZP),Y",2,ADL := DL; DL := *{zeropage_indirect},0038,940A,0010
11,ORA,"(ZP),Y",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
11,ORA,"(ZP),Y",4,ADH := DL; ADL := TMP,0030,0C00,0000
11,ORA,"(ZP),Y",5,"DL := *{latch} + Y; ORA(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,310A,0012
13,SLO,"(ZP),Y",0,IR := *PC; PC += 1,0004,100A,0010
13,SLO,"(ZP),Y",1,DL := *PC; PC += 1,0004,100A,0010
13,SLO,"(ZP),Y",2,ADL := DL; DL := *{zeropage_indirect},0038,940A,0010
13,SLO,"(ZP),Y",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
13,SLO,"(ZP),Y",4,ADH := DL; ADL := TMP,0030,0C00,0000
13,SLO,"(ZP),Y",5,DL := *{latch} + Y; TMP := *{latch} + Y,0000,310A,0090
13,SLO,"(ZP),Y",6,ASL(TMP); *{latch} + Y := ALU_RESULT; DL := ALU_RESULT,7830,3105,0010
13,SLO,"(ZP),Y",7,"ORA(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
15,ORA,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
15,ORA,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
15,ORA,"ZP,X",2,ADL := DL,0038,0400,0000
15,ORA,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
15,ORA,"ZP,X",4,"DL := *{zeropage}; ORA(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,800A,0012
16,ASL,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
16,ASL,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
16,ASL,"ZP,X",2,ADL := DL,0038,0400,0000
16,ASL,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
16,ASL,"ZP,X",4,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
16,ASL,"ZP,X",5,ASL(TMP),4030,0000,0000
16,ASL,"ZP,X",6,*{zeropage} := ALU_RESULT; ALU_FLAGS_LD; END,F800,8005,0012
17,SLO,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
17,SLO,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
17,SLO,"ZP,X",2,ADL := DL,0038,0400,0000
17,SLO,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
17,SLO,"ZP,X",4,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
17,SLO,"ZP,X",5,ASL(TMP); *{zeropage} := ALU_RESULT; DL := ALU_RESULT,7830,8005,0010
17,SLO,"ZP,X",6,"ORA(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
18,CLC,Impl,0,IR := *PC; PC += 1,0004,100A,0010
18,CLC,Impl,1,CLRF(C); END,0000,0000,2002
19,ORA,"Abs,Y",0,IR := *PC; PC += 1,0004,100A,0010
19,ORA,"Abs,Y",1,DL := *PC; PC += 1,0004,100A,0010
19,ORA,"Abs,Y",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
19,ORA,"Abs,Y",3,ADH := DL,0038,0800,0000
19,ORA,"Abs,Y",4,"DL := *{latch} + X; ORA(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
1B,SLO,"Abs,Y",0,IR := *PC; PC += 1,0004,100A,0010
1B,SLO,"Abs,Y",1,DL := *PC; PC += 1,0004,100A,0010
1B,SLO,"Abs,Y",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
1B,SLO,"Abs,Y",3,ADH := DL,0038,0800,0000
1B,SLO,"Abs,Y",4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
1B,SLO,"Abs,Y",5,ASL(TMP); *{latch} + X := ALU_RESULT; DL := ALU_RESULT,7830,3205,0010
1B,SLO,"Abs,Y",6,"ORA(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
1D,ORA,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
1D,ORA,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
1D,ORA,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
1D,ORA,"Abs,X",3,ADH := DL,0038,0800,0000
1D,ORA,"Abs,X",4,"DL := *{latch} + X; ORA(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
1E,ASL,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
1E,ASL,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
1E,ASL,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
1E,ASL,"Abs,X",3,ADH := DL,0038,0800,0000
1E,ASL,"Abs,X",4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
1E,ASL,"Abs,X",5,ASL(TMP),4030,0000,0000
1E,ASL,"Abs,X",6,*{latch} + X := ALU_RESULT; ALU_FLAGS_LD; END,F800,3205,0012
1F,SLO,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
1F,SLO,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
1F,SLO,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
1F,SLO,"Abs,X",3,ADH := DL,0038,0800,0000
1F,SLO,"Abs,X",4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
1F,SLO,"Abs,X",5,ASL(TMP); *{latch} + X := ALU_RESULT; DL := ALU_RESULT,7830,3205,0010
1F,SLO,"Abs,X",6,"ORA(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
20,JSR,Abs,0,IR := *PC; PC += 1,0004,100A,0010
20,JSR,Abs,1,DL := *PC; PC += 1; ADL := DL,003C,140A,0010
20,JSR,Abs,2,*SP := PCH; SP -= 1,0000,2095,0010
20,JSR,Abs,3,*SP := PCL; SP -= 1,0000,2055,0010
20,JSR,Abs,4,DL := *PC; ADH := DL,0038,180A,0010
20,JSR,Abs,5,"PC := {ADH, ADL}; END",0002,0000,0002
21,AND,"(ZP,X)",0,IR := *PC; PC += 1,0004,100A,0010
21,AND,"(ZP,X)",1,DL := *PC; PC += 1,0004,100A,0010
21,AND,"(ZP,X)",2,ADL := {calculate_zp_x_pointer}; DL := *{zeropage_indirect},0000,940A,0010
21,AND,"(ZP,X)",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
21,AND,"(ZP,X)",4,ADH := DL; ADL := TMP,0030,0C00,0000
21,AND,"(ZP,X)",5,"DL := *{latch}; AND(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,300A,0012
23,RLA,"(ZP,X)",0,IR := *PC; PC += 1,0004,100A,0010
23,RLA,"(ZP,X)",1,DL := *PC; PC += 1,0004,100A,0010
23,RLA,"(ZP,X)",2,ADL := {calculate_zp_x_pointer}; DL := *{zeropage_indirect},0000,940A,0010
23,RLA,"(ZP,X)",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
23,RLA,"(ZP,X)",4,ADH := DL; ADL := TMP,0030,0C00,0000
23,RLA,"(ZP,X)",5,DL := *{latch}; TMP := *{latch},0000,300A,0090
23,RLA,"(ZP,X)",6,ROL(TMP); *{latch} := ALU_RESULT; DL := ALU_RESULT,7830,3005,0010
23,RLA,"(ZP,X)",7,"AND(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
24,BIT,ZP,0,IR := *PC; PC += 1,0004,100A,0010
24,BIT,ZP,1,DL := *PC; PC += 1,0004,100A,0010
24,BIT,ZP,2,ADL := DL,0038,0400,0000
24,BIT,ZP,3,"DL := *{zeropage}; BIT(A, DL); ALU_FLAGS_LD; END",B038,800A,0012
25,AND,ZP,0,IR := *PC; PC += 1,0004,100A,0010
25,AND,ZP,1,DL := *PC; PC += 1,0004,100A,0010
25,AND,ZP,2,ADL := DL,0038,0400,0000
25,AND,ZP,3,"DL := *{zeropage}; AND(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,800A,0012
26,ROL,ZP,0,IR := *PC; PC += 1,0004,100A,0010
26,ROL,ZP,1,DL := *PC; PC += 1,0004,100A,0010
26,ROL,ZP,2,ADL := DL,0038,0400,0000
26,ROL,ZP,3,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
26,ROL,ZP,4,ROL(TMP),5030,0000,0000
26,ROL,ZP,5,*{zeropage} := ALU_RESULT; ALU_FLAGS_LD; END,F800,8005,0012
27,RLA,ZP,0,IR := *PC; PC += 1,0004,100A,0010
27,RLA,ZP,1,DL := *PC; PC += 1,0004,100A,0010
27,RLA,ZP,2,ADL := DL,0038,0400,0000
27,RLA,ZP,3,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
27,RLA,ZP,4,ROL(TMP); *{zeropage} := ALU_RESULT; DL := ALU_RESULT,7830,8005,0010
27,RLA,ZP,5,"AND(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
28,PLP,Impl,0,IR := *PC; PC += 1,0004,100A,0010
28,PLP,Impl,1,SP += 1,0000,0020,0000
28,PLP,Impl,2,DL := *SP,0000,200A,0010
28,PLP,Impl,3,P := DL; END,0038,0000,0002
29,AND,#Imm,0,IR := *PC; PC += 1,0004,100A,0010
29,AND,#Imm,1,DL := *PC; PC += 1,0004,100A,0010
29,AND,#Imm,2,"AND(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
2A,ROL,Acc,0,IR := *PC; PC += 1,0004,100A,0010
2A,ROL,Acc,1,ROL(A); A := ALU_RESULT; ALU_FLAGS_LD; END,FC28,0000,0002
2C,BIT,Abs,0,IR := *PC; PC += 1,0004,100A,0010
2C,BIT,Abs,1,DL := *PC; PC += 1,0004,100A,0010
2C,BIT,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
2C,BIT,Abs,3,ADH := DL,0038,0800,0000
2C,BIT,Abs,4,"DL := *{latch} + X; BIT(A, DL); ALU_FLAGS_LD; END",B038,320A,0012
2D,AND,Abs,0,IR := *PC; PC += 1,0004,100A,0010
2D,AND,Abs,1,DL := *PC; PC += 1,0004,100A,0010
2D,AND,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
2D,AND,Abs,3,ADH := DL,0038,0800,0000
2D,AND,Abs,4,"DL := *{latch} + X; AND(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
2E,ROL,Abs,0,IR := *PC; PC += 1,0004,100A,0010
2E,ROL,Abs,1,DL := *PC; PC += 1,0004,100A,0010
2E,ROL,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
2E,ROL,Abs,3,ADH := DL,0038,0800,0000
2E,ROL,Abs,4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
2E,ROL,Abs,5,ROL(TMP),5030,0000,0000
2E,ROL,Abs,6,*{latch} + X := ALU_RESULT; ALU_FLAGS_LD; END,F800,3205,0012
2F,RLA,Abs,0,IR := *PC; PC += 1,0004,100A,0010
2F,RLA,Abs,1,DL := *PC; PC += 1,0004,100A,0010
2F,RLA,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
2F,RLA,Abs,3,ADH := DL,0038,0800,0000
2F,RLA,Abs,4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
2F,RLA,Abs,5,ROL(TMP); *{latch} + X := ALU_RESULT; DL := ALU_RESULT,7830,3205,0010
2F,RLA,Abs,6,"AND(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
30,BMI,Rel,0,IR := *PC; PC += 1,0004,100A,0010
30,BMI,Rel,1,ADL := *PC; PC += 1; TEST_BRANCH_EN; END,0004,140A,001A
30,BMI,Rel,2,PC := {pc_plus_offset}; END,0002,8000,0012
31,AND,"(ZP),Y",0,IR := *PC; PC += 1,0004,100A,0010
31,AND,"(ZP),Y",1,DL := *PC; PC += 1,0004,100A,0010
31,AND,"(ZP),Y",2,ADL := DL; DL := *{zeropage_indirect},0038,940A,0010
31,AND,"(ZP),Y",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
31,AND,"(ZP),Y",4,ADH := DL; ADL := TMP,0030,0C00,0000
31,AND,"(ZP),Y",5,"DL := *{latch} + Y; AND(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,310A,0012
33,RLA,"(ZP),Y",0,IR := *PC; PC += 1,0004,100A,0010
33,RLA,"(ZP),Y",1,DL := *PC; PC += 1,0004,100A,0010
33,RLA,"(ZP),Y",2,ADL := DL; DL := *{zeropage_indirect},0038,940A,0010
33,RLA,"(ZP),Y",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
33,RLA,"(ZP),Y",4,ADH := DL; ADL := TMP,0030,0C00,0000
33,RLA,"(ZP),Y",5,DL := *{latch} + Y; TMP := *{latch} + Y,0000,310A,0090
33,RLA,"(ZP),Y",6,ROL(TMP); *{latch} + Y := ALU_RESULT; DL := ALU_RESULT,7830,3105,0010
33,RLA,"(ZP),Y",7,"AND(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
35,AND,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
35,AND,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
35,AND,"ZP,X",2,ADL := DL,0038,0400,0000
35,AND,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
35,AND,"ZP,X",4,"DL := *{zeropage}; AND(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,800A,0012
36,ROL,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
36,ROL,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
36,ROL,"ZP,X",2,ADL := DL,0038,0400,0000
36,ROL,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
36,ROL,"ZP,X",4,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
36,ROL,"ZP,X",5,ROL(TMP),5030,0000,0000
36,ROL,"ZP,X",6,*{zeropage} := ALU_RESULT; ALU_FLAGS_LD; END,F800,8005,0012
37,RLA,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
37,RLA,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
37,RLA,"ZP,X",2,ADL := DL,0038,0400,0000
37,RLA,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
37,RLA,"ZP,X",4,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
37,RLA,"ZP,X",5,ROL(TMP); *{zeropage} := ALU_RESULT; DL := ALU_RESULT,7830,8005,0010
37,RLA,"ZP,X",6,"AND(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
38,SEC,Impl,0,IR := *PC; PC += 1,0004,100A,0010
38,SEC,Impl,1,SETF(C); END,0000,0000,4002
39,AND,"Abs,Y",0,IR := *PC; PC += 1,0004,100A,0010
39,AND,"Abs,Y",1,DL := *PC; PC += 1,0004,100A,0010
39,AND,"Abs,Y",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
39,AND,"Abs,Y",3,ADH := DL,0038,0800,0000
39,AND,"Abs,Y",4,"DL := *{latch} + X; AND(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
3B,RLA,"Abs,Y",0,IR := *PC; PC += 1,0004,100A,0010
3B,RLA,"Abs,Y",1,DL := *PC; PC += 1,0004,100A,0010
3B,RLA,"Abs,Y",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
3B,RLA,"Abs,Y",3,ADH := DL,0038,0800,0000
3B,RLA,"Abs,Y",4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
3B,RLA,"Abs,Y",5,ROL(TMP); *{latch} + X := ALU_RESULT; DL := ALU_RESULT,7830,3205,0010
3B,RLA,"Abs,Y",6,"AND(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
3D,AND,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
3D,AND,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
3D,AND,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
3D,AND,"Abs,X",3,ADH := DL,0038,0800,0000
3D,AND,"Abs,X",4,"DL := *{latch} + X; AND(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
3E,ROL,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
3E,ROL,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
3E,ROL,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
3E,ROL,"Abs,X",3,ADH := DL,0038,0800,0000
3E,ROL,"Abs,X",4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
3E,ROL,"Abs,X",5,ROL(TMP),5030,0000,0000
3E,ROL,"Abs,X",6,*{latch} + X := ALU_RESULT; ALU_FLAGS_LD; END,F800,3205,0012
3F,RLA,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
3F,RLA,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
3F,RLA,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
3F,RLA,"Abs,X",3,ADH := DL,0038,0800,0000
3F,RLA,"Abs,X",4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
3F,RLA,"Abs,X",5,ROL(TMP); *{latch} + X := ALU_RESULT; DL := ALU_RESULT,7830,3205,0010
3F,RLA,"Abs,X",6,"AND(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
40,RTI,Impl,0,IR := *PC; PC += 1,0004,100A,0010
40,RTI,Impl,1,SP += 1,0000,0020,0000
40,RTI,Impl,2,DL := *SP; P := DL,0038,200A,0010
40,RTI,Impl,3,SP += 1,0000,0020,0000
40,RTI,Impl,4,DL := *SP; PCL := DL,0038,200A,0010
40,RTI,Impl,5,SP += 1,0000,0020,0000
40,RTI,Impl,6,DL := *SP; PCH := DL,0038,200A,0010
40,RTI,Impl,7,END,0000,0000,0002
41,EOR,"(ZP,X)",0,IR := *PC; PC += 1,0004,100A,0010
41,EOR,"(ZP,X)",1,DL := *PC; PC += 1,0004,100A,0010
41,EOR,"(ZP,X)",2,ADL := {calculate_zp_x_pointer}; DL := *{zeropage_indirect},0000,940A,0010
41,EOR,"(ZP,X)",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
41,EOR,"(ZP,X)",4,ADH := DL; ADL := TMP,0030,0C00,0000
41,EOR,"(ZP,X)",5,"DL := *{latch}; EOR(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,300A,0012
43,SRE,"(ZP,X)",0,IR := *PC; PC += 1,0004,100A,0010
43,SRE,"(ZP,X)",1,DL := *PC; PC += 1,0004,100A,0010
43,SRE,"(ZP,X)",2,ADL := {calculate_zp_x_pointer}; DL := *{zeropage_indirect},0000,940A,0010
43,SRE,"(ZP,X)",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
43,SRE,"(ZP,X)",4,ADH := DL; ADL := TMP,0030,0C00,0000
43,SRE,"(ZP,X)",5,DL := *{latch}; TMP := *{latch},0000,300A,0090
43,SRE,"(ZP,X)",6,LSR(TMP); *{latch} := ALU_RESULT; DL := ALU_RESULT,7830,3005,0010
43,SRE,"(ZP,X)",7,"EOR(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
45,EOR,ZP,0,IR := *PC; PC += 1,0004,100A,0010
45,EOR,ZP,1,DL := *PC; PC += 1,0004,100A,0010
45,EOR,ZP,2,ADL := DL,0038,0400,0000
45,EOR,ZP,3,"DL := *{zeropage}; EOR(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,800A,0012
46,LSR,ZP,0,IR := *PC; PC += 1,0004,100A,0010
46,LSR,ZP,1,DL := *PC; PC += 1,0004,100A,0010
46,LSR,ZP,2,ADL := DL,0038,0400,0000
46,LSR,ZP,3,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
46,LSR,ZP,4,LSR(TMP),4830,0000,0000
46,LSR,ZP,5,*{zeropage} := ALU_RESULT; ALU_FLAGS_LD; END,F800,8005,0012
47,SRE,ZP,0,IR := *PC; PC += 1,0004,100A,0010
47,SRE,ZP,1,DL := *PC; PC += 1,0004,100A,0010
47,SRE,ZP,2,ADL := DL,0038,0400,0000
47,SRE,ZP,3,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
47,SRE,ZP,4,LSR(TMP); *{zeropage} := ALU_RESULT; DL := ALU_RESULT,7830,8005,0010
47,SRE,ZP,5,"EOR(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
48,PHA,Impl,0,IR := *PC; PC += 1,0004,100A,0010
48,PHA,Impl,1,*SP := A; SP -= 1; END,0028,2015,0012
49,EOR,#Imm,0,IR := *PC; PC += 1,0004,100A,0010
49,EOR,#Imm,1,DL := *PC; PC += 1,0004,100A,0010
49,EOR,#Imm,2,"EOR(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
4A,LSR,Acc,0,IR := *PC; PC += 1,0004,100A,0010
4A,LSR,Acc,1,LSR(A); A := ALU_RESULT; ALU_FLAGS_LD; END,FC28,0000,0002
4C,JMP,Abs,0,IR := *PC; PC += 1,0004,100A,0010
4C,JMP,Abs,1,DL := *PC; PC += 1; ADL := DL,003C,140A,0010
4C,JMP,Abs,2,DL := *PC; PC += 1; ADH := DL,003C,180A,0010
4C,JMP,Abs,3,"PC := {ADH, ADL}; END",0002,0000,0002
4D,EOR,Abs,0,IR := *PC; PC += 1,0004,100A,0010
