Opcode,Mnemonic,Addressing,Cycle,Symbolic Code,W2,W1,W0
D1,CMP,"(ZP),Y",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
D1,CMP,"(ZP),Y",4,ADH := DL; ADL := TMP,0030,0C00,0000
D1,CMP,"(ZP),Y",5,"DL := *{latch} + Y; CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,310A,0012
D3,DCP,"(ZP),Y",0,IR := *PC; PC += 1,0004,100A,0010
D3,DCP,"(ZP),Y",1,DL := *PC; PC += 1,0004,100A,0010
D3,DCP,"(ZP),Y",2,ADL := DL; DL := *{zeropage_indirect},0038,940A,0010
D3,DCP,"(ZP),Y",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
D3,DCP,"(ZP),Y",4,ADH := DL; ADL := TMP,0030,0C00,0000
D3,DCP,"(ZP),Y",5,DL := *{latch} + Y; TMP := *{latch} + Y,0000,310A,0090
D3,DCP,"(ZP),Y",6,DEC(TMP); *{latch} + Y := ALU_RESULT; DL := ALU_RESULT,7830,3105,0010
D3,DCP,"(ZP),Y",7,"CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
D5,CMP,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
D5,CMP,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
D5,CMP,"ZP,X",2,ADL := DL,0038,0400,0000
D5,CMP,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
D5,CMP,"ZP,X",4,"DL := *{zeropage}; CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,800A,0012
D6,DEC,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
D6,DEC,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
D6,DEC,"ZP,X",2,ADL := DL,0038,0400,0000
D6,DEC,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
D6,DEC,"ZP,X",4,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
D6,DEC,"ZP,X",5,DEC(TMP),6830,0000,0000
D6,DEC,"ZP,X",6,*{zeropage} := ALU_RESULT; ALU_FLAGS_LD; END,F800,8005,0012
D7,DCP,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
D7,DCP,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
D7,DCP,"ZP,X",2,ADL := DL,0038,0400,0000
D7,DCP,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
D7,DCP,"ZP,X",4,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
D7,DCP,"ZP,X",5,DEC(TMP); *{zeropage} := ALU_RESULT; DL := ALU_RESULT,7830,8005,0010
D7,DCP,"ZP,X",6,"CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
D8,CLD,Impl,0,IR := *PC; PC += 1,0004,100A,0010
